gridID,year,class_71,total_rast_area,class_21,class_41,class_42,class_43,class_90,class_95,class_52,class_22,class_23,class_82,class_11,class_31,class_24,class_81
1481-4-19-c-1,2020,0.562428656787394,1.0322091951709969,0.02977523168468475,0.14777511284121872,NA,NA,0.019849646016597753,0.012130160247355698,NA,0.007719406440705062,NA,0.24040016193672983,0.012130819216310977,NA,NA,NA
1481-4-19-c-2,2020,0.8204753301706601,1.0277920897647723,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20621390182772242,0.0011028577663898468,NA,NA,NA
1481-4-19-c-3,2020,0.20178451219511007,1.0320606979036355,0.02977063078129291,NA,NA,NA,NA,NA,NA,0.0088212757088542,NA,0.7916842792183783,NA,NA,NA,NA
1481-4-19-c-4,2020,0.6703984630729244,1.059622622795789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3892241597228646,NA,NA,NA,NA
1481-4-19-d-1,2020,1.032197931880357,1.0410199276256582,NA,NA,NA,NA,NA,0.008821995745301247,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-d-2,2020,1.0211644363389674,1.061969368360168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04080493202120064,NA,NA,NA,NA
1481-4-19-d-3,2020,1.0750544545289964,1.0750544545289964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-d-4,2020,1.0552024344402855,1.0552024344402855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-e-1,2020,0.8910247607331908,1.0663753568500915,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17535059611690065,NA,NA,NA,NA
1481-4-19-e-2,2020,0.9704298671856559,1.041008603163425,0.0396996641882956,NA,NA,NA,NA,NA,NA,NA,NA,0.02646796408829092,0.004411107701182365,NA,NA,NA
1481-4-19-e-3,2020,1.032043561909673,1.032043561909673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-e-4,2020,1.0044720680766037,1.0287298256716957,0.023155088977783924,NA,NA,NA,NA,0.0011026686173081397,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-f-1,2020,0.9924811955178365,1.0410025503703342,0.02756828973841667,NA,NA,NA,NA,0.011027863818556072,NA,0.009925201295524834,NA,NA,NA,NA,NA,NA
1481-4-19-f-2,2020,0.936235296638698,1.0321749289090638,NA,NA,NA,NA,NA,0.09593963227036587,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-19-f-3,2020,1.0254184938060305,1.066214584127303,0.03638566606277227,NA,NA,NA,NA,0.002205349439024925,NA,0.0022050748194754125,NA,NA,NA,NA,NA,NA
1481-4-19-f-4,2020,0.8534081454580689,1.0640044501327834,NA,NA,NA,NA,0.02646103820499777,0.18413526646971684,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-a-19-4,2020,NA,0.0022131674723029136,NA,NA,NA,NA,NA,NA,NA,0.0022131674723029136,NA,NA,NA,NA,NA,NA
1481-4-e-12-4,2020,0.042005698713779446,0.11827989857807757,0.0022108390552699566,NA,NA,NA,NA,NA,NA,0.006632480665266513,0.004421623359531164,0.06300925678423049,NA,NA,NA,NA
1481-4-e-13-2,2020,0.17799723741295936,0.20342510746207837,0.002211106705367565,NA,NA,NA,NA,0.0033166570168435576,NA,NA,NA,0.01990010632690787,NA,NA,NA,NA
1481-4-e-13-3,2020,0.40570125772988785,0.6632693578388692,0.013265338489204645,NA,NA,NA,0.0011054773181676865,0.014371284212857483,NA,0.027635935306042435,0.0011053982355296612,0.19897920747822548,NA,NA,NA,0.001105459068953991
1481-4-e-13-4,2020,0.3902397036852829,1.0479863648211054,0.05969549532446265,NA,NA,NA,0.035375292422652256,0.017687959481656548,NA,0.09175288367056841,0.008843842871874572,0.44439118736460803,NA,NA,NA,NA
1481-4-e-14-1,2020,0.2399210220383104,0.7761330797107502,0.02874589555177093,NA,NA,NA,NA,NA,NA,0.024322350140631208,NA,0.4831438119800377,NA,NA,NA,NA
1481-4-e-14-2,2020,0.4411401010841127,1.061393439037681,0.015478440316110849,NA,NA,NA,0.008845545912265777,NA,NA,0.05528015529078245,NA,0.540649196434409,NA,NA,NA,NA
1481-4-e-14-3,2020,0.0961779622326493,1.041351037324937,0.08733346846181153,NA,NA,NA,NA,NA,NA,0.049748365001618826,NA,0.8080912416288574,NA,NA,NA,NA
1481-4-e-14-4,2020,0.28853690991216907,1.028080126715482,0.037586313981115844,NA,NA,NA,NA,NA,NA,NA,NA,0.7019569028221971,NA,NA,NA,NA
1481-4-e-15-4,2020,0.03646892372724414,0.03646892372724414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481-4-e-16-2,2020,0.02652630878299475,0.0641056021644473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03757929338145256,NA,NA,NA,NA
1481-4-e-16-3,2020,0.26633593765676017,0.4718960863432589,NA,NA,NA,NA,NA,NA,NA,0.0055255430538952354,NA,0.19782433851024545,NA,NA,NA,0.002210267122358084
1481-4-e-16-4,2020,0.5901523295238894,0.9515532176505904,0.015473305921286342,NA,NA,NA,0.00994716043922305,0.0011052339641451836,NA,0.038681649233073004,0.005526175905406475,0.28072059165880076,NA,NA,NA,0.009946771004766226
1481-4-e-17-1,2020,0.5117521838318113,0.5548582128785853,0.012158060366690161,NA,NA,NA,NA,0.0022105044358968736,NA,0.0011052583025991916,NA,0.018789938739895817,NA,NA,NA,0.008842267201691865
1481-4-e-17-2,2020,0.3083890971365281,1.0180027954926207,0.058581464432686574,0.0022106017862856386,NA,NA,0.021001313209474088,NA,NA,0.09837348902645708,0.016579677628308535,0.5051297783367938,NA,NA,0.004421580774843693,0.0033157931612432003
1481-4-e-17-3,2020,0.3127734353141481,1.0410760125442733,0.08730922975355386,NA,NA,NA,0.002210486182361841,0.004420960194587708,NA,0.4243814556090233,0.15803831314754474,NA,NA,NA,0.05194213234305384,NA
1481-4-e-17-4,2020,0.06631353276842837,1.0421752709403331,0.11383237430942059,NA,NA,NA,0.0033152820162177083,NA,NA,0.23208540469026545,0.061891830246001485,0.5625265250211952,NA,NA,0.0022103218888044358,NA
1481-4-e-18-1,2020,0.22438395998567315,1.0345815666196339,0.03426622588330508,NA,NA,NA,0.017685404447108508,NA,NA,0.07074274329251046,0.0011053982355296612,0.686397834775507,NA,NA,NA,NA
1481-4-e-18-2,2020,0.15364174596902713,1.0323650936749582,0.03979150138211249,0.0011053373977541923,NA,NA,NA,NA,NA,0.009948152173250914,NA,0.8278783567528135,NA,NA,NA,NA
1481-4-e-18-3,2020,0.06631086144191027,1.0311182092111635,0.059678277114838356,0.00221043750461936,NA,NA,0.008841585709929467,NA,NA,0.040891831140130765,NA,0.8531852162997353,NA,NA,NA,NA
1481-4-e-18-4,2020,0.16025100818490973,1.0609535566649386,0.04310265204313398,NA,NA,NA,0.039785155002027776,NA,NA,0.05525948326104879,0.0022103401453495027,0.7603449180284688,NA,NA,NA,NA
1481-4-e-19-1,2020,0.7416566431509499,1.041202183271641,0.044212674524396665,0.00663141595441103,NA,NA,NA,NA,NA,0.001105240048855543,NA,0.24759620959302783,NA,NA,NA,NA
1481-4-e-19-2,2020,0.12600616948011517,1.0688308542266436,0.01105227879434824,NA,NA,NA,NA,NA,NA,0.023209785468131305,NA,0.9085626204840489,NA,NA,NA,NA
1481-4-e-19-3,2020,0.20997666641154933,1.0642634532584474,0.018787693434655667,0.004420935856580734,NA,NA,0.005525920341610908,NA,NA,0.05968055908408762,NA,0.765871678129963,NA,NA,NA,NA
1481-4-e-19-4,2020,0.24313582135933626,1.0731001038549806,0.014367938094258311,0.0022101454106867313,NA,NA,0.019892720497041938,NA,NA,0.02984079980912805,0.0022102914598584175,0.7614423872246708,NA,NA,NA,NA
1481-4-e-f-4,2020,0.26758581559622313,0.31070815295302895,0.0011056962797939777,NA,NA,NA,0.005528493561923503,NA,NA,NA,NA,0.03648814751508831,NA,NA,NA,NA
1481-4-f-10-1,2020,0.34385674004736594,1.034854867216229,0.04754174097004533,NA,NA,NA,NA,NA,NA,0.04864898818099498,0.00884491340458393,0.5726942326418153,NA,0.01326825197142363,NA,NA
1481-4-f-10-2,2020,0.11277349732029435,1.0315321402608761,0.015478701842337848,NA,NA,NA,NA,NA,NA,0.00884545468863845,NA,0.8944344864096055,NA,NA,NA,NA
1481-4-f-10-3,2020,0.07075075518384581,1.032496074506703,0.0541681026479602,NA,NA,NA,NA,NA,NA,NA,NA,0.907577216674897,NA,NA,NA,NA
1481-4-f-10-4,2020,0.12934042645055052,1.0623394482935107,0.0165821597725153,NA,NA,NA,NA,NA,NA,NA,NA,0.9153114881695545,0.0011053739008903504,NA,NA,NA
1481-4-f-11-1,2020,0.15589397980442654,1.041477203026561,0.029851348557174206,NA,NA,NA,NA,NA,NA,0.009950238667100668,NA,0.8457816359978596,NA,NA,NA,NA
1481-4-f-11-2,2020,0.5384313142878089,1.0702189565511013,0.038696371423840525,NA,NA,NA,NA,NA,NA,0.0011055381463170053,NA,0.49198573269313484,NA,NA,NA,NA
1481-4-f-11-3,2020,0.07959397754418858,1.0645450071103593,0.05637870447236303,NA,NA,NA,NA,NA,NA,0.023214360595196482,NA,0.9031470220282395,0.0022109424703717234,NA,NA,NA
1481-4-f-11-4,2020,0.13597362481528547,1.0711729192677182,0.07406591572487362,NA,NA,NA,NA,NA,NA,0.004421720689356328,NA,0.8567116580382027,NA,NA,NA,NA
1481-4-f-12-1,2020,0.3184039576435685,1.063580770663798,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7451768130202295,NA,NA,NA,NA
1481-4-f-12-2,2020,0.07296998817807439,1.0613642811867066,0.029851032278150322,NA,NA,NA,0.01768877455765009,NA,NA,0.007738718362867832,NA,0.933115767809964,NA,NA,NA,NA
1481-4-f-12-3,2020,0.14481859919422888,1.0413222760289302,0.03758622273471953,NA,NA,NA,NA,NA,NA,0.0011054712351858617,NA,0.8578119828647959,NA,NA,NA,NA
1481-4-f-12-4,2020,0.1116484762379229,1.0313679796810755,0.06190511165559294,NA,NA,NA,NA,NA,NA,0.0022108998861610886,NA,0.8556034919013986,NA,NA,NA,NA
