id,gridArea,tof2010_sum,tof2016_sum,tof2020_sum
1544-1-19-a-4,0.019020514159489424,0,0,0
1544-2-10-10-3,1.0000000014796853,0,0,0
1544-2-10-10-4,1.0000000014817714,0,0,0
1544-2-10-11-3,1.0000000014808177,0.005802294869963079,7.022419462073595e-5,0.0012793948411103338
1544-2-10-11-4,1.0000000014784336,0.012204371817255392,1.4995756974630058e-4,4.5792159804701807e-4
1544-2-10-12-3,1.0000000014814139,0.012071172463944181,2.896713038114831e-4,0.0013825120915081353
1544-2-10-12-4,1.0000000014814734,0,0,0
1544-2-10-13-3,1.0000000014798045,4.6962698548100887e-4,7.314677648246288e-7,0
1544-2-10-13-4,1.000000001476407,0.009603061960191466,1.4337131302431225e-4,9.663017165241763e-4
1544-2-10-14-3,1.000000001482904,0,0,0
1544-2-10-15-1,1.000000001483798,0,0,0
1544-2-10-15-2,1.0000000014760495,0.002074291123450734,7.533449481520802e-5,0
1544-2-10-15-3,1.0000000014790893,1.228615043591708e-4,0.00100270030488912,0.007255907769605517
1544-2-10-15-4,1.0000000014784336,0.004358215904043988,1.0239229273516684e-4,3.5105954630300404e-5
1544-2-10-16-1,1.000000001484573,0.045541848766014914,3.3646553502976895e-4,0.016032622107388452
1544-2-10-16-2,1.0000000014769435,0.012523960088119842,2.3405158381909134e-5,1.7699750110693275e-4
1544-2-10-16-3,1.0000000014820696,0.015530509313584306,3.342352388128638e-4,4.1468644823320207e-4
1544-2-10-16-4,1.0000000014705062,0.01855503091954533,3.569076993018389e-4,0.002368114499906078
1544-2-10-17-1,1.0000000014820098,0.020689804229685107,0.0018819073828505353,0.0047908689100285996
1544-2-10-17-2,1.000000001476407,0.0024457591616371646,5.851044518593699e-5,0
1544-2-10-17-3,1.0000000014717578,6.947246768297628e-4,1.4626546585932374e-6,0
1544-2-10-17-4,1.0000000014805197,0.031551655989957975,3.5248655426409095e-4,0.0018692050689328463
1544-2-10-18-1,1.0000000014885069,0.013424298725505358,0.0035641449561733753,0.002986275925181806
1544-2-10-18-2,1.0000000014750958,0.005577985061384737,1.8505060420650988e-4,0
1544-2-10-18-3,1.0000000014760495,0.003479562719784677,4.6073927651159465e-5,0
1544-2-10-18-4,1.0000000014801622,0.0059402781199533496,0.0010267396116778254,0.001060365437971428
1544-2-10-19-1,1.0000000014753938,2.1282316255103796e-4,1.4627069840207696e-6,0
1544-2-10-19-3,1.0000000014719368,0.0026502836904432623,3.042243493050337e-4,0
1544-2-15-1-1,1.000000001483977,2.0622208440117538e-4,0,0
1544-2-15-1-2,1.0000000014774204,0.010079990419803187,0,0
1544-2-15-1-3,1.0000000014774204,0.0034523757798532026,2.5735556207504126e-4,3.1730452695768324e-4
1544-2-15-1-4,1.0000000014758705,0.015472825873761437,0.0032300583130018784,0.0014066647230181843
1544-2-15-2-1,1.000000001476705,0.003868187722827308,7.531676077619195e-4,0.0012087182377688588
1544-2-15-2-2,1.0000000014827848,0.008908791902121157,2.9980247425846756e-5,0
1544-2-15-2-3,1.00000000147295,0.004830661281345412,1.060169205153361e-4,0
1544-2-15-2-4,1.0000000014781951,0.023843013435550033,0.001440288706170395,0.001158849281734787
1544-2-15-3-1,1.0000000014818906,0.03724391163226217,0.004309153703613206,0.009324668285333551
1544-2-15-3-2,1.000000001477182,0.006364666481328197,3.7000722014997155e-4,0.0010595852419836448
1544-2-15-3-3,1.0000000014727115,0.02581961716345325,7.552500684997067e-4,2.646744624637067e-4
1544-2-15-3-4,1.000000001464963,0.0037828813671953974,5.563976620007306e-4,5.110666377143935e-4
1544-2-15-4-1,1.000000001478672,0.006923766819531098,3.0051036697812376e-4,0
1544-2-15-4-2,1.0000000014756323,0.004712707783818245,3.35628899355419e-4,1.2650648953858762e-4
1544-2-15-4-3,1.000000001470089,0.014335012653713114,0.0016932115571890026,0.0026465707928547636
1544-2-15-4-4,1.0000000014685988,0.005028657400093042,0.0013715601460188628,5.35918560359627e-4
1544-2-15-5-1,1.000000001474738,1.4623921578750015e-6,1.4623438194394112e-6,0
1544-2-15-5-3,1.00000000147748,0.001699040552415885,1.3891566276550294e-5,7.164116430561989e-5
1544-2-15-6-1,0.9391733958847522,0.0040667819299111145,9.664365866361186e-4,0.0025864330822145567
1544-2-15-6-2,0.862634487693429,0.01057796469051484,9.708767619216814e-4,0
1544-2-15-7-1,0.7860772920588851,0.003461501335028559,0.005365055378053337,0.007468240265019238
1544-2-15-7-2,0.7095018088812232,2.1931926095858218e-6,0,0
1544-2-15-8-1,0.6329080380927921,0.0010936628936575727,6.579513790085912e-6,2.5294559527374807e-4
1544-2-15-8-2,0.5562959796015322,0.004933109934821725,1.9080116798263043e-4,0.004065948740519583
1544-2-15-9-1,0.47966563333123924,0.0037451558797098696,7.89526808867231e-5,6.060387745816261e-4
1544-2-15-9-2,0.40301699920862916,0.0029919897434264424,7.383506801351905e-5,7.529491184093058e-5
1544-2-15-a-1,0.326350077159971,0.004414612001248635,7.895103726256639e-5,0.0014671674512429162
